#{"t_start": 1784439046.130854, "env_id": "Reacher-v5"}
r,l,t
-27.174874,50,50.242175
-32.111767,50,50.272752
-23.713019,50,52.540404
-27.729188,50,52.570417
-32.925167,50,52.600552
-32.336954,50,52.630925
-26.420635,50,52.66223
-27.702393,50,52.692588
-21.468272,50,52.723132
-26.671523,50,52.754229
-24.169581,50,52.784503
-24.361473,50,52.815002
-25.904622,50,52.846366
-23.422348,50,52.87657
-20.944416,50,52.906944
-27.189243,50,52.937065
-26.214929,50,52.968453
-22.409874,50,52.998709
-25.77688,50,53.029318
-18.31402,50,53.060722
-28.416445,50,53.090992
-21.286136,50,53.121889
-19.261638,50,53.153493
-21.407731,50,53.183862
-28.87815,50,53.214639
-26.701133,50,53.245757
-22.611244,50,53.275955
-24.493876,50,53.30629
-22.229375,50,53.336487
-30.410671,50,53.530109
-26.465571,50,53.562326
-24.207471,50,53.592671
-25.786895,50,53.623032
-32.877101,50,53.654521
-29.874014,50,53.684736
-23.821054,50,53.71551
-20.281452,50,53.745838
-25.7021,50,53.7775
-22.139558,50,53.808154
-26.263357,50,53.838286
-21.749497,50,53.869664
-30.00746,50,53.900228
-33.183431,50,53.93115
-19.74486,50,56.206933
-23.355504,50,56.237034
-17.415547,50,56.267172
-18.097265,50,56.298872
-22.9569,50,56.32954
-23.50426,50,56.36046
-21.240788,50,56.391988
-27.228337,50,56.422686
-18.370086,50,56.453397
-24.346619,50,56.484797
-16.048699,50,56.515061
-22.241862,50,56.545764
-25.499927,50,56.575885
-15.917709,50,56.607117
-19.81543,50,56.637443
-18.057514,50,56.668403
-21.679986,50,56.699954
-22.173134,50,56.73028
-19.063503,50,56.760942
-19.839684,50,56.792017
-25.068224,50,56.822129
-18.364183,50,56.852625
-19.672598,50,56.882903
-22.744973,50,56.914121
-24.684584,50,56.944366
-24.942407,50,56.974913
-19.083018,50,57.006319
-26.365954,50,57.036435
-24.459352,50,57.067589
-22.060107,50,57.098952
-21.99391,50,57.129305
-26.447686,50,57.159904
-15.357386,50,57.191009
-23.870128,50,57.221296
-18.388661,50,57.251989
-20.950984,50,57.281951
-19.241109,50,57.474687
-14.742084,50,57.506486
-22.756217,50,57.537036
-22.213008,50,57.567646
-17.488028,50,57.599096
-18.547798,50,59.876489
-21.298229,50,59.906422
-15.782804,50,59.937346
-18.876394,50,59.967269
-16.826119,50,59.997738
-20.794954,50,60.030404
-21.823003,50,60.060776
-19.153842,50,60.091473
-23.003841,50,60.121853
-15.696427,50,60.153253
-18.847622,50,60.18355
-17.805537,50,60.214329
-21.780635,50,60.245696
-21.972443,50,60.275649
-22.836097,50,60.306165
-17.367968,50,60.337403
-20.992104,50,60.367475
-16.66076,50,60.398223
-18.124644,50,60.429554
-12.131589,50,60.459616
-17.064609,50,60.490233
