#{"t_start": 1784446208.7240992, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-9.282626,50,41.403405
-6.641623,50,41.435836
-11.456149,50,41.466662
-10.773325,50,41.498107
-11.224356,50,41.529958
-12.737099,50,41.56121
-8.53485,50,42.152912
-11.18263,50,42.185316
-10.650341,50,42.217051
-6.072421,50,42.249857
-7.078638,50,42.281874
-8.545142,50,42.314067
-11.460695,50,42.346763
-9.735634,50,42.378458
-6.539082,50,42.410407
-7.670992,50,42.61874
-9.798732,50,43.185956
-6.553267,50,43.216732
-7.736019,50,43.248607
-6.821081,50,43.279463
-9.624474,50,43.310717
-6.63592,50,43.342512
-9.250753,50,43.374049
-10.139686,50,43.405411
-14.703164,50,43.43796
-6.902965,50,43.468979
-9.803795,50,43.500287
-9.967964,50,44.080506
-7.090921,50,44.11157
-7.220964,50,44.142831
-13.673997,50,44.175743
-11.676121,50,44.207185
-6.710443,50,44.238238
-8.203775,50,44.270845
-6.91162,50,44.302487
-14.074058,50,44.333811
-10.366756,50,44.365901
-8.072128,50,44.929312
-8.63565,50,44.961615
-10.600538,50,44.99284
-12.138796,50,45.024123
-12.034135,50,45.056529
-9.300757,50,45.087483
-6.565405,50,45.118616
-9.67158,50,45.149904
-14.127613,50,45.182073
-12.23982,50,45.213212
-9.956235,50,45.784045
-12.940564,50,45.815356
-11.619035,50,45.847088
-13.539807,50,45.879981
-5.369514,50,45.911821
-7.008756,50,45.943565
-10.517652,50,45.976053
-6.176525,50,46.007354
-10.952252,50,46.039132
-7.298635,50,46.071428
-12.583689,50,46.651966
-11.299575,50,46.684816
-10.264569,50,46.715708
-6.085117,50,46.747165
-7.208346,50,46.779565
-6.218426,50,46.810543
-6.460746,50,46.842197
-12.609077,50,46.874077
-9.502568,50,46.906608
-12.846778,50,46.938418
-7.181099,50,47.524369
-6.917445,50,47.555799
-10.450778,50,47.588195
-7.274991,50,47.619374
-10.040798,50,47.650746
-6.67266,50,47.682517
-6.727258,50,47.716122
-6.965124,50,47.747543
-6.646235,50,47.778626
-7.504277,50,47.810642
-8.443296,50,47.842312
-12.109561,50,48.431605
-6.98409,50,48.46265
-8.959629,50,48.493621
-5.638127,50,48.525878
-11.145322,50,48.556808
-11.681515,50,48.588218
-8.524642,50,48.620569
-8.288069,50,48.651631
-12.563787,50,48.683799
-10.333592,50,48.716656
-7.347575,50,49.306431
-8.444879,50,49.338014
-12.843524,50,49.369401
-5.969645,50,49.400484
-7.935914,50,49.433155
-13.66489,50,49.464859
